id_,token_id,permalink,last_sale_usd,last_sale_eth,top_bid,num_sales
391,391,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/391,4124.420000000000073000,1.000000000000000,,1
280,280,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/280,4124.420000000000073000,1.000000000000000,,1
1158,1158,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1158,4124.420000000000073000,1.000000000000000,,1
376,376,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/376,4124.420000000000073000,1.000000000000000,,1
1064,1064,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1064,4124.420000000000073000,1.000000000000000,,1
1327,1327,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1327,4124.420000000000073000,1.000000000000000,,1
952,952,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/952,,,,0
283,283,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/283,,,,0
1425,1425,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1425,,,,0
934,934,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/934,4124.420000000000073000,1.000000000000000,,1
117,117,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/117,,,,0
437,437,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/437,4124.420000000000073000,1.000000000000000,,3
1001,1001,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1001,4124.420000000000073000,1.000000000000000,,1
488,488,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/488,4124.420000000000073000,1.000000000000000,,1
572,572,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/572,4124.420000000000073000,1.000000000000000,,1
1108,1108,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/1108,4124.420000000000073000,1.000000000000000,,1
753,753,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/753,,,,0
384,384,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/384,4124.420000000000073000,1.000000000000000,,1
859,859,https://opensea.io/assets/0xd6f4a923e2ecd9ab7391840ac78d04bfe40bd5e1/859,,,,0
