token_id,permalink,last_sale_usd,last_sale_eth,top_bid,num_sales
1,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1,0,0,0,0
100,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/100,3823.699999999999818000,1.000000000000000,0,1
1000,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1000,3823.699999999999818000,1.000000000000000,0,1
1001,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1001,0,0,0,0
1002,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1002,3823.699999999999818000,1.000000000000000,0,1
1003,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1003,0,0,0,0
1004,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1004,3823.699999999999818000,1.000000000000000,0,1
1005,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1005,0,0,0,0
1006,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1006,0,0,0,0
1007,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1007,3823.699999999999818000,1.000000000000000,0,2
1008,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1008,3823.699999999999818000,1.000000000000000,0,2
1009,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1009,0,0,0,0
101,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/101,3823.699999999999818000,1.000000000000000,0,2
1010,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1010,0,0,0,0
1011,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1011,0,0,0,0
1012,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1012,0,0,0,0
1013,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1013,3823.699999999999818000,1.000000000000000,0,1
1014,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1014,3823.699999999999818000,1.000000000000000,0,2
1015,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1015,3823.699999999999818000,1.000000000000000,0,1
1016,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1016,0,0,0,0
1017,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1017,0,0,0,0
1018,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1018,3823.699999999999818000,1.000000000000000,0,1
1019,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1019,3823.699999999999818000,1.000000000000000,0,1
102,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/102,0,0,0,0
1020,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1020,3823.699999999999818000,1.000000000000000,0,1
1021,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1021,0,0,0,0
1022,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1022,3823.699999999999818000,1.000000000000000,0,1
1023,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1023,3823.699999999999818000,1.000000000000000,0,1
