token,owner,collection,contractAddress,datapull_ds,permalink,num_sales,traits,priceInEth
1008,0x182d4897de5a97cc7cfdd43bdc8127b1d9b219bd,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1008,2,"[{'trait_type': 'Pepsi Mic', 'value': 'Diet Wild Cherry', 'display_type': None, 'max_value': None, 'trait_count': 236, 'order': None}, {'trait_type': 'Stage', 'value': 'Deep Blue', 'display_type': None, 'max_value': None, 'trait_count': 126, 'order': None}, {'trait_type': 'Headgear', 'value': 'Punk', 'display_type': None, 'max_value': None, 'trait_count': 105, 'order': None}, {'trait_type': 'Soundwave', 'value': 'Red Music Notes', 'display_type': None, 'max_value': None, 'trait_count': 189, 'order': None}, {'trait_type': 'Facegear', 'value': 'Future Shades', 'display_type': None, 'max_value': None, 'trait_count': 96, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'Yes', 'display_type': None, 'max_value': None, 'trait_count': 747, 'order': None}]",0.0
1009,0xc54660883e05dafd8e89e4a5ca0b1f4268512801,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1009,1,"[{'trait_type': 'Facegear', 'value': 'Laser Eyes', 'display_type': None, 'max_value': None, 'trait_count': 64, 'order': None}, {'trait_type': 'Stage', 'value': 'Pepsi Bubbles', 'display_type': None, 'max_value': None, 'trait_count': 128, 'order': None}, {'trait_type': 'Soundwave', 'value': 'Red Music Notes', 'display_type': None, 'max_value': None, 'trait_count': 189, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'Yes', 'display_type': None, 'max_value': None, 'trait_count': 747, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Diet Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 269, 'order': None}, {'trait_type': 'Headgear', 'value': 'Blue Fire', 'display_type': None, 'max_value': None, 'trait_count': 164, 'order': None}]",0.0
101,0xfa3949fde585114b8ec981eb6aae3c232c832fc2,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/101,3,"[{'trait_type': 'Stage', 'value': 'Neon Wave', 'display_type': None, 'max_value': None, 'trait_count': 126, 'order': None}, {'trait_type': 'Headgear', 'value': 'Red Headphones', 'display_type': None, 'max_value': None, 'trait_count': 127, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Facegear', 'value': 'Future Shades', 'display_type': None, 'max_value': None, 'trait_count': 96, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Diet Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 269, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
1010,0xc8a40bdc1c4c331abc4515a4c621f5744518c8b3,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1010,0,"[{'trait_type': 'Headgear', 'value': 'Black Cap', 'display_type': None, 'max_value': None, 'trait_count': 132, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Pepsi Mango', 'display_type': None, 'max_value': None, 'trait_count': 266, 'order': None}, {'trait_type': 'Stage', 'value': 'Condensation', 'display_type': None, 'max_value': None, 'trait_count': 128, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
1011,0xaa621b960f22911462550c078df678493c22b2ae,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1011,1,"[{'trait_type': 'Soundwave', 'value': 'Blue Music Notes', 'display_type': None, 'max_value': None, 'trait_count': 186, 'order': None}, {'trait_type': 'Headgear', 'value': 'Black Cap', 'display_type': None, 'max_value': None, 'trait_count': 132, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Diet Wild Cherry', 'display_type': None, 'max_value': None, 'trait_count': 236, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'Yes', 'display_type': None, 'max_value': None, 'trait_count': 747, 'order': None}, {'trait_type': 'Stage', 'value': 'Soda Shop Checkerboard', 'display_type': None, 'max_value': None, 'trait_count': 132, 'order': None}]",0.0
1012,0x62a9bb00dfc4d6303a02efa5370b3997f7363674,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1012,0,"[{'trait_type': 'Pepsi Mic', 'value': 'Zero Sugar', 'display_type': None, 'max_value': None, 'trait_count': 163, 'order': None}, {'trait_type': 'Stage', 'value': 'Condensation', 'display_type': None, 'max_value': None, 'trait_count': 128, 'order': None}, {'trait_type': 'Facegear', 'value': 'Mustache', 'display_type': None, 'max_value': None, 'trait_count': 348, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Headgear', 'value': 'Bubble', 'display_type': None, 'max_value': None, 'trait_count': 123, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
1013,0x031d346bb973e776ea77d11a8e977a91329d4f07,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1013,1,"[{'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Headgear', 'value': 'Hair Metal', 'display_type': None, 'max_value': None, 'trait_count': 174, 'order': None}, {'trait_type': 'Soundwave', 'value': 'Gold Music Notes', 'display_type': None, 'max_value': None, 'trait_count': 62, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Stage', 'value': 'Pepsi Liquid', 'display_type': None, 'max_value': None, 'trait_count': 123, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Diet Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 269, 'order': None}]",1.77
1014,0xa65a2c21a842da0d9fd9e32852fbf43e791f2ae6,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1014,3,"[{'trait_type': 'Stage', 'value': 'Pepsi Pulse', 'display_type': None, 'max_value': None, 'trait_count': 122, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Diet Wild Cherry', 'display_type': None, 'max_value': None, 'trait_count': 236, 'order': None}, {'trait_type': 'Facegear', 'value': 'Mustache', 'display_type': None, 'max_value': None, 'trait_count': 348, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'Yes', 'display_type': None, 'max_value': None, 'trait_count': 747, 'order': None}, {'trait_type': 'Headgear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 281, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
1015,0xf0596dedc5f23d14c476a8669afdfe54c3816595,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1015,1,"[{'trait_type': 'Stage', 'value': 'Pepsi Wave', 'display_type': None, 'max_value': None, 'trait_count': 122, 'order': None}, {'trait_type': 'Facegear', 'value': 'Rockstar Shades', 'display_type': None, 'max_value': None, 'trait_count': 318, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Pepsi Mango', 'display_type': None, 'max_value': None, 'trait_count': 266, 'order': None}, {'trait_type': 'Headgear', 'value': 'Sock Hop', 'display_type': None, 'max_value': None, 'trait_count': 146, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
1016,0x26011ce69166a517cfff51c4bba260b4fb4a014f,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1016,1,"[{'trait_type': 'Stage', 'value': 'Spotlight', 'display_type': None, 'max_value': None, 'trait_count': 124, 'order': None}, {'trait_type': 'Headgear', 'value': 'Black Headphones', 'display_type': None, 'max_value': None, 'trait_count': 132, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Pepsi Mango', 'display_type': None, 'max_value': None, 'trait_count': 266, 'order': None}, {'trait_type': 'Soundwave', 'value': '2D Waves', 'display_type': None, 'max_value': None, 'trait_count': 147, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'Yes', 'display_type': None, 'max_value': None, 'trait_count': 747, 'order': None}]",0.0
1017,0x751f34abd50d33c875e933f2ad2eac403e08c631,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1017,0,"[{'trait_type': 'Pepsi Mic', 'value': 'Crystal Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 139, 'order': None}, {'trait_type': 'Stage', 'value': 'Pepsi Pulse', 'display_type': None, 'max_value': None, 'trait_count': 122, 'order': None}, {'trait_type': 'Headgear', 'value': 'Punk', 'display_type': None, 'max_value': None, 'trait_count': 105, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
1018,0x074fe8eac0eb5269a7b7edfba5a8dca00ea38c1f,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1018,1,"[{'trait_type': 'Pepsi Mic', 'value': 'Pepsi Mango', 'display_type': None, 'max_value': None, 'trait_count': 266, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Stage', 'value': 'Pepsi Liquid', 'display_type': None, 'max_value': None, 'trait_count': 123, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'Yes', 'display_type': None, 'max_value': None, 'trait_count': 747, 'order': None}, {'trait_type': 'Headgear', 'value': 'Blue Fire', 'display_type': None, 'max_value': None, 'trait_count': 164, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
1019,0xb5ab1de4b47b608f651071f5da3d5762af0972ac,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1019,1,"[{'trait_type': 'Pepsi Mic', 'value': 'Crystal Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 139, 'order': None}, {'trait_type': 'Facegear', 'value': 'Rockstar Shades', 'display_type': None, 'max_value': None, 'trait_count': 318, 'order': None}, {'trait_type': 'Stage', 'value': 'Condensation', 'display_type': None, 'max_value': None, 'trait_count': 128, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Headgear', 'value': 'Blue Fire', 'display_type': None, 'max_value': None, 'trait_count': 164, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
102,0xe29f89932ba43a77e4704a6afdfe55aa1b630cfc,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/102,0,"[{'trait_type': 'Stage', 'value': 'Crystal Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 121, 'order': None}, {'trait_type': 'Headgear', 'value': 'Black Cap', 'display_type': None, 'max_value': None, 'trait_count': 132, 'order': None}, {'trait_type': 'Soundwave', 'value': 'Red Music Notes', 'display_type': None, 'max_value': None, 'trait_count': 189, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'Yes', 'display_type': None, 'max_value': None, 'trait_count': 747, 'order': None}, {'trait_type': 'Pepsi Mic', 'value': 'Diet Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 269, 'order': None}]",2.5
1020,0x6666dae2c6350bf8114c31e44c370328cf9e7b9b,pepsi-mic-drop,0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f,2022-01-25,https://opensea.io/assets/0xa67d63e68715dcf9b65e45e5118b5fcd1e554b5f/1020,2,"[{'trait_type': 'Pepsi Mic', 'value': 'Diet Pepsi', 'display_type': None, 'max_value': None, 'trait_count': 269, 'order': None}, {'trait_type': 'Stage', 'value': 'Wild Cherry', 'display_type': None, 'max_value': None, 'trait_count': 118, 'order': None}, {'trait_type': 'Facegear', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 988, 'order': None}, {'trait_type': 'Lens Flare', 'value': 'No', 'display_type': None, 'max_value': None, 'trait_count': 1102, 'order': None}, {'trait_type': 'Headgear', 'value': 'Blue Headphones', 'display_type': None, 'max_value': None, 'trait_count': 100, 'order': None}, {'trait_type': 'Soundwave', 'value': 'None', 'display_type': None, 'max_value': None, 'trait_count': 1219, 'order': None}]",0.0
